control_id,category,title,status,score,weight,recommendation
ENV-REPOSITORY-STRUCTURE,ENVIRONMENT,Repository structure,PASS,100.0,1.0,
ENV-DATABASE-CONFIGURATION,DATA,Database configuration,PASS,100.0,1.0,
ENV-POLYGON-CONFIGURATION,DATA,Polygon configuration,PASS,100.0,1.0,
ENV-BROKER-MODE,BROKER,Paper broker mode,PASS,100.0,2.0,
DEP-PHASE-1,INTEGRATION,Phase 1 report,PASS,100.0,1.0,
DEP-PHASE-2,INTEGRATION,Phase 2 report,PASS,100.0,1.0,
DEP-PHASE-3,INTEGRATION,Phase 3 report,PASS,100.0,1.0,
DEP-PHASE-4,INTEGRATION,Phase 4 report,PASS,100.0,1.0,
DEP-PHASE-5,INTEGRATION,Phase 5 report,PASS,100.0,1.0,
DEP-PHASE-6,INTEGRATION,Phase 6 report,PASS,100.0,1.0,
DEP-PHASE-7,INTEGRATION,Phase 7 report,PASS,100.0,1.0,
DEP-PHASE-8,INTEGRATION,Phase 8 report,PASS,100.0,1.0,
GOV-PAPER-ONLY,GOVERNANCE,Paper-only enforcement,PASS,100.0,1.5,
GOV-KILL-SWITCH,GOVERNANCE,Kill-switch control,PASS,100.0,1.5,
GOV-DUPLICATE-RUN,GOVERNANCE,Duplicate-run prevention,PASS,100.0,1.5,
GOV-RESTART-SAFE,GOVERNANCE,Restart-safe scheduler state,PASS,100.0,1.5,
GOV-RECOVERY,GOVERNANCE,Recovery governance,PASS,100.0,1.5,
